"Movie Name","Release Period","Whether Remake","Whether Franchise",Genre,star_rating,"New Actor","New Director","New Music Director","Lead Star",Director,"Music Director","Number of Screens",Revenue(INR),Budget(INR)
"Golden Boys",Normal,No,No,suspense,9.3,Yes,No,No,"Jeet Goswami","Ravi Varma","Baba Jagirdar",5,5000000,85000
"Kaccha Limboo",Holiday,No,No,drama,9.2,Yes,No,Yes,"Karan Bhanushali","Sagar Ballary","Amardeep Nijjer",75,15000000,825000
"Not A Love Story",Holiday,No,No,thriller,9.1,No,No,No,"Mahie Gill","Ram Gopal Verma","Sandeep Chowta",525,75000000,56700000
"Qaidi Band",Holiday,No,No,drama,9,Yes,No,No,"Aadar Jain","Habib Faisal","Amit Trivedi",800,210000000,4500000
Chaatwali,Holiday,No,No,adult,8.9,Yes,Yes,Yes,"Aadil Khan","Aadil Khan","Babloo Ustad",1,1000000,1075000
"Shuttlecock Boys",Normal,No,No,comedy,8.9,Yes,Yes,Yes,"Aakar Kaushik","Hemant Gaba","Avinash Baghel",10,5000000,170000
"Dirty Marriage",Holiday,No,No,adult,8.9,Yes,No,Yes,Aakash,Priyanka,Dharma,2,1500000,35000
"Future To Bright Hai Ji",Holiday,No,No,drama,8.9,No,Yes,Yes,"Aamir Bashir","Sanjay Amar","Amir Ali",30,15000000,825000
Ghajini,Holiday,Yes,No,action,8.9,No,Yes,No,"Aamir Khan","A.R. Murugadoss","A.R. Rehman",1550,520000000,1945820000
"Taare Zameen Par",Holiday,No,No,drama,8.9,No,Yes,No,"Aamir Khan","Aamir Khan","Shankar - Ehsaan - Loy",500,180000000,875785000
"Mangal Pandey - The Rising",Holiday,No,No,drama,8.8,No,No,No,"Aamir Khan","Ketan Mehta","A.R. Rehman",675,370000000,525785000
Fanaa,Normal,No,No,love_story,8.8,No,No,No,"Aamir Khan","Kunal Kohli","Jatin - Lalit",650,300000000,1054800000
"Rang De Basanti",Holiday,No,No,drama,8.8,No,No,No,"Aamir Khan","Rakesh Omprakash Mehra","A.R. Rehman",600,280000000,979080000
