roll_no,Age,Gender,branch,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
1,22,Male,Civil,0,6,1,0,0
2,22,Male,"Information Technology",0,7,0,0,0
3,21,Male,"Computer Science",0,6,0,1,0
4,22,Male,Electrical,2,6,0,1,0
5,22,Male,"Computer Science",1,6,0,0,0
6,22,Male,"Electronics And Communication",1,8,1,1,1
7,21,Male,"Computer Science",1,7,0,0,0
8,21,Female,"Computer Science",0,7,1,1,1
9,22,Male,Mechanical,0,8,1,0,1
10,22,Female,"Information Technology",1,6,0,0,1
11,21,Male,Electrical,3,7,0,0,1
12,21,Male,Mechanical,0,8,0,0,1
13,21,Male,"Information Technology",0,8,0,1,1
14,22,Male,Mechanical,0,8,1,1,1
15,22,Male,Mechanical,0,8,1,0,1
16,21,Male,Electrical,0,6,0,0,0
17,21,Male,"Computer Science",2,8,0,0,1
18,22,Male,"Electronics And Communication",0,6,0,0,0
19,21,Female,"Computer Science",0,8,1,0,1
20,21,Male,"Computer Science",0,7,0,1,0
21,21,Male,"Information Technology",1,7,0,0,0
22,21,Male,"Computer Science",0,7,0,0,0
23,21,Male,"Information Technology",1,7,0,0,0
24,21,Female,Electrical,1,6,0,0,0
25,22,Male,"Information Technology",0,6,0,1,0
26,21,Male,"Computer Science",2,6,0,0,1
27,22,Female,Civil,1,8,0,0,1
28,22,Male,"Information Technology",1,8,0,0,1
29,21,Male,Civil,0,8,0,0,1
30,21,Male,Electrical,1,7,0,0,1
31,21,Female,"Computer Science",1,6,1,0,0
32,21,Male,"Information Technology",1,6,0,0,0
33,21,Female,Civil,1,6,0,0,0
34,22,Male,"Computer Science",1,7,0,0,0
35,21,Male,"Computer Science",1,6,0,0,0
36,22,Female,Electrical,1,8,0,1,1
37,21,Male,"Computer Science",3,6,0,0,1
38,21,Female,"Computer Science",2,6,1,1,0
39,21,Male,Civil,1,7,1,0,0
40,21,Male,"Computer Science",1,8,0,1,1
41,22,Male,Electrical,1,7,0,0,0
42,21,Male,Mechanical,0,6,1,1,0
43,21,Female,"Electronics And Communication",2,8,0,0,1
44,21,Male,Civil,0,7,0,0,0
45,22,Male,Mechanical,0,8,1,0,1
46,21,Male,"Electronics And Communication",2,6,1,1,0
47,21,Female,"Information Technology",1,8,1,0,1
48,22,Female,"Computer Science",1,7,1,0,0
49,22,Male,Electrical,1,8,0,1,1
50,22,Male,Civil,0,8,0,0,1
51,22,Male,"Computer Science",2,8,0,0,1
52,21,Male,Civil,0,6,0,0,0
53,22,Male,"Computer Science",0,7,0,1,0
54,21,Male,Mechanical,1,6,1,1,0
55,21,Male,"Computer Science",1,7,0,0,0
56,21,Male,Electrical,0,6,0,0,0
57,22,Male,"Computer Science",0,7,0,0,0
58,22,Male,"Computer Science",1,7,0,0,0
59,22,Male,Civil,0,6,0,0,0
60,22,Male,Civil,0,8,0,0,1
61,21,Male,Civil,0,6,1,0,0
62,21,Male,"Computer Science",1,6,0,0,0
63,21,Male,Electrical,1,6,0,1,0
64,22,Male,Civil,0,7,0,0,0
65,22,Male,"Electronics And Communication",1,8,0,1,1
66,21,Female,"Computer Science",1,7,1,0,0
67,21,Male,"Computer Science",0,7,0,1,0
68,21,Male,"Computer Science",2,7,0,0,1
69,22,Male,"Electronics And Communication",1,7,0,1,0
70,21,Male,"Computer Science",0,7,0,1,0
71,21,Female,Mechanical,1,6,1,0,0
72,22,Male,"Electronics And Communication",0,7,0,0,0
73,21,Male,Civil,1,8,0,1,1
74,22,Male,Mechanical,0,6,1,0,0
75,21,Male,Electrical,0,8,1,0,1
76,22,Male,"Electronics And Communication",1,8,0,0,1
77,22,Male,Electrical,1,8,0,0,1
78,22,Male,"Computer Science",1,8,0,0,1
79,22,Male,"Information Technology",1,8,0,0,1
80,22,Male,"Information Technology",1,8,0,0,1
81,21,Female,"Information Technology",0,8,0,0,1
82,21,Male,"Information Technology",0,6,0,0,1
83,22,Male,"Information Technology",1,7,0,0,0
84,22,Male,Mechanical,1,8,1,0,1
85,22,Male,"Information Technology",0,8,0,0,1
86,21,Male,Electrical,1,7,0,0,1
87,21,Male,"Electronics And Communication",0,6,0,0,0
88,21,Female,Civil,1,7,0,0,0
89,21,Male,"Information Technology",0,8,0,1,1
90,21,Female,"Information Technology",2,6,0,0,1
91,21,Male,Electrical,0,7,0,0,0
92,22,Male,"Computer Science",1,8,0,0,1
93,21,Male,"Computer Science",1,6,0,0,1
94,22,Male,"Computer Science",1,7,0,0,0
95,21,Male,"Electronics And Communication",2,8,0,0,1
96,21,Female,"Information Technology",2,7,0,0,1
97,21,Male,"Information Technology",1,6,0,0,0
98,21,Female,Mechanical,1,8,1,0,1
99,28,Male,Civil,0,8,1,0,1
100,22,Male,Civil,0,7,0,0,1
101,21,Female,"Computer Science",1,6,1,0,0
102,21,Male,"Computer Science",2,7,0,0,1
103,22,Male,"Computer Science",1,8,0,0,1
104,22,Female,"Information Technology",1,7,0,0,0
105,22,Male,"Electronics And Communication",2,6,0,0,1
106,22,Male,"Information Technology",1,6,0,0,0
107,22,Female,"Computer Science",0,6,1,0,0
108,21,Male,"Information Technology",1,8,1,0,1
109,22,Male,"Electronics And Communication",0,8,0,1,1
110,21,Male,"Information Technology",2,8,1,0,1
111,22,Male,Mechanical,0,6,1,0,1
112,22,Male,Electrical,1,6,0,1,0
113,22,Male,Civil,0,7,1,1,0
114,22,Male,Civil,0,8,1,0,1
115,21,Male,Mechanical,0,8,1,0,1
116,21,Male,Electrical,1,6,0,0,0
117,21,Male,Electrical,1,7,1,1,1
118,21,Male,"Information Technology",1,6,0,0,0
119,21,Male,"Electronics And Communication",2,6,0,0,1
120,21,Male,Electrical,1,7,0,0,1
121,22,Female,Mechanical,1,7,1,0,0
122,21,Male,Mechanical,1,7,1,0,0
123,22,Female,"Information Technology",2,8,0,0,1
124,22,Male,"Electronics And Communication",0,8,0,0,1
125,22,Male,Civil,0,7,0,0,0
126,21,Male,Electrical,0,6,0,0,0
127,21,Female,"Electronics And Communication",3,6,0,0,1
128,22,Female,Electrical,1,6,0,0,0
129,21,Male,Mechanical,0,6,1,0,1
130,22,Male,"Computer Science",0,8,0,0,1
131,22,Male,"Computer Science",1,8,0,0,1
132,22,Male,Mechanical,0,7,1,0,0
133,21,Male,"Computer Science",3,8,0,0,1
134,22,Male,"Electronics And Communication",1,6,1,1,0
135,21,Female,"Information Technology",0,8,0,1,1
136,22,Male,"Computer Science",0,7,0,1,1
